zelda_castle_1.gif
8 8
0 north = 
0 south = 
0 west = 
0 east = 
1 north = 
1 south = 
1 west = 
1 east = 
2 north = 
2 south = 
2 west = 
2 east = 
3 north = 
3 south = 
3 west = 
3 east = 
4 north = 
4 south = 
4 west = 
4 east = 
5 north = 
5 south = 
5 west = 
5 east = 
6 north = 
6 south = 
6 west = 
6 east = 
7 north = 
7 south = 
7 west = 
7 east = 
8 north = 
8 south = 
8 west = 
8 east = 
9 north = 
9 south = 
9 west = 
9 east = 
10 north = 
10 south = 
10 west = 
10 east = 
11 north = 
11 south = 
11 west = 
11 east = 
12 north = 
12 south = 
12 west = 
12 east = 
13 north = 
13 south = 
13 west = 
13 east = 
14 north = 
14 south = 
14 west = 
14 east = 
15 north = 
15 south = 
15 west = 
15 east = 
16 north = 
16 south = 
16 west = 
16 east = 
17 north = 
17 south = 
17 west = 
17 east = 
18 north = 
18 south = 
18 west = 
18 east = 
19 north = 
19 south = 
19 west = 
19 east = 
20 north = 
20 south = 
20 west = 
20 east = 
21 north = 
21 south = 
21 west = 
21 east = 
22 north = 
22 south = 
22 west = 
22 east = 
23 north = 
23 south = 
23 west = 
23 east = 
24 north = 
24 south = 
24 west = 
24 east = 
25 north = 
25 south = 
25 west = 
25 east = 
26 north = 
26 south = 
26 west = 
26 east = 
27 north = 
27 south = 
27 west = 
27 east = 
28 north = 
28 south = 
28 west = 
28 east = 
29 north = 
29 south = 
29 west = 
29 east = 
30 north = 
30 south = 
30 west = 
30 east = 
31 north = 
31 south = 
31 west = 
31 east = 
32 north = 
32 south = 
32 west = 
32 east = 
33 north = 
33 south = 
33 west = 
33 east = 
34 north = 
34 south = 
34 west = 
34 east = 
35 north = 
35 south = 
35 west = 
35 east = 
36 north = 
36 south = 
36 west = 
36 east = 
37 north = 
37 south = 
37 west = 
37 east = 
38 north = 
38 south = 
38 west = 
38 east = 
39 north = 
39 south = 
39 west = 
39 east = 
40 north = 
40 south = 
40 west = 
40 east = 
41 north = 
41 south = 
41 west = 
41 east = 
42 north = 
42 south = 
42 west = 
42 east = 
43 north = 
43 south = 
43 west = 
43 east = 
44 north = 
44 south = 
44 west = 
44 east = 
45 north = 
45 south = 
45 west = 
45 east = 
46 north = 
46 south = 
46 west = 
46 east = 
47 north = 
47 south = 
47 west = 
47 east = 
48 north = 
48 south = 
48 west = 
48 east = 
49 north = 
49 south = 
49 west = 
49 east = 
50 north = 
50 south = 
50 west = 
50 east = 
51 north = 
51 south = 
51 west = 
51 east = 
52 north = 
52 south = 
52 west = 
52 east = 
53 north = 
53 south = 
53 west = 
53 east = 
54 north = 
54 south = 
54 west = 
54 east = 
55 north = 
55 south = 
55 west = 
55 east = 
56 north = 
56 south = 
56 west = 
56 east = 
57 north = 
57 south = 
57 west = 
57 east = 
58 north = 
58 south = 
58 west = 
58 east = 
59 north = 
59 south = 
59 west = 
59 east = 
60 north = 
60 south = 
60 west = 
60 east = 
61 north = 
61 south = 
61 west = 
61 east = 
62 north = 
62 south = 
62 west = 
62 east = 
63 north = 
63 south = 
63 west = 
63 east = 
